date,site,samp_type,season,taxa,number_individuals,age_class,prey_category
6/22/2016,SGL 205,leaf litter,spring,Acari,101,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Collembola,169,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Staphylinidae,2,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Chironomidae,23,Immature,aquatic
6/22/2016,SGL 205,leaf litter,spring,Ceratopogonidae,2,Immature,aquatic
6/22/2016,SGL 205,leaf litter,spring,Tipulidae,3,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Cecidomyiidae,3,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Psychodidae,6,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Diptera,4,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Curculionidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Leiodidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Ptiliidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Formicidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Araneae,1,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Thysanoptera,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Isopoda,2,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Symphyla,1,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Diplopoda,5,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Acari,16,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Collembola,40,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Pseudoscorpiones,13,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Chalcidoidea,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Curculionidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Psocoptera,3,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Orthoptera,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Hemiptera,1,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Acari,13,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Collembola,28,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Araneae,3,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Chironomidae,62,Immature,aquatic
6/22/2016,SGL 205,leaf litter,spring,Tipulidae,12,Immature,intermediate
6/22/2016,SGL 205,leaf litter,spring,Dolichopodidae,3,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Ptiliidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Thysanoptera,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Isopoda,3,Undetermined,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Carabidae,1,Adult,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Sciaridae,12,Immature,terrestrial
6/22/2016,SGL 205,leaf litter,spring,Coleoptera,1,Immature,terrestrial
