year,season,site,specimen,species,SVL,aquatic.total.vol,int.total.vol,neither.total.vol,terr.total.vol,total.prey.volume,percent.aquatic.vol,percent.int.vol,percent.neither.vol,percent.terr.vol
2016,Spring,SGL 205,KMM033,D. fuscus,33,1.17,0,0,2.68,3.85,0.30,0.00,0.00,0.70
2016,Spring,SGL 205,KMM041,D. fuscus,34,21.4,1.48,0,0,22.88,0.94,0.06,0.00,0.00
2016,Spring,SGL 205,KMM028,D. fuscus,34,0.53,0,0,1.14,1.67,0.32,0.00,0.00,0.68
2016,Spring,SGL 205,KMM031,D. fuscus,35,2.67,1.36,0,0,4.03,0.66,0.34,0.00,0.00
2016,Spring,SGL 205,KMM035,D. fuscus,37,0,0,0,31.4,31.4,0.00,0.00,0.00,1.00
2016,Spring,SGL 205,KMM043,D. fuscus,37,0,0,0,5.36,5.36,0.00,0.00,0.00,1.00
2016,Spring,SGL 205,KMM045,E. bislineata,41,0,0,0,24.84,24.84,0.00,0.00,0.00,1.00
2016,Spring,SGL 205,KMM069,D. fuscus,43,0,0,0,0.47,0.47,0.00,0.00,0.00,1.00
2016,Spring,SGL 205,KMM068,D. fuscus,44,0,73.73,0,0,73.73,0.00,1.00,0.00,0.00
2016,Spring,SGL 205,KMM025,D. fuscus,46,9.86,0,245.58,30.31,285.75,0.03,0.00,0.86,0.11
2016,Spring,SGL 205,KMM030,D. fuscus,46,0.85,0,0,0,0.85,1.00,0.00,0.00,0.00
2016,Spring,SGL 205,KMM034,D. fuscus,47,0,0,0,635.4,635.4,0.00,0.00,0.00,1.00
2016,Spring,SGL 205,KMM067,D. fuscus,47,1.51,0,0,0,1.51,1.00,0.00,0.00,0.00
2016,Spring,SGL 205,KMM040,D. fuscus,57,1.3,4.18,0,0,5.48,0.24,0.76,0.00,0.00
2016,Spring,SGL 205,KMM024,D. fuscus,60,0.38,0,1.42,143.87,145.67,0.00,0.00,0.01,0.99
2016,Spring,SGL 205,KMM037,D. fuscus,62,1.26,9.89,2.68,0.04,13.87,0.09,0.71,0.19,0.00
2016,Summer,SGL 221,KMM073,D. ochrophaeus,31,0,0,0,265.07,265.07,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0129,D. ochrophaeus,33,0,70.81,0,0.66,71.47,0.00,0.99,0.00,0.01
2016,Summer,SGL 221,KMM0144,D. ochrophaeus,34,0,33.7,0,0,33.7,0.00,1.00,0.00,0.00
2016,Summer,SGL 221,KMM095,D. fuscus,35,0,0,0,0.21,0.21,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0125,E. bislineata,36,0,0,0,0.94,0.94,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0127,D. ochrophaeus,37,0.64,0,0,31.53,32.17,0.02,0.00,0.00,0.98
2016,Summer,SGL 221,KMM0137,E. bislineata,37,0,0,0,0.53,0.53,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0139,E. bislineata,38,0,0,0,0.6,0.6,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM078,D. ochrophaeus,38,0,0.73,0,0,0.73,0.00,1.00,0.00,0.00
2016,Summer,SGL 221,KMM0135,E. bislineata,39,0,0,0,1.32,1.32,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0138,E. bislineata,39,0,0.82,0,6.8,7.62,0.00,0.11,0.00,0.89
2016,Summer,SGL 221,KMM091,D. ochrophaeus,39,0,0,0,1.89,1.89,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0132,D. ochrophaeus,40,0.2,5.62,0,6.8,12.62,0.02,0.45,0.00,0.54
2016,Summer,SGL 221,KMM0134,D. ochrophaeus,40,0.04,0,0,1.68,1.72,0.02,0.00,0.00,0.98
2016,Summer,SGL 221,KMM079,D. fuscus,40,1.46,0,0,15.35,16.81,0.09,0.00,0.00,0.91
2016,Summer,SGL 221,KMM0140,D. ochrophaeus,41,0,0,0,0.24,0.24,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM094,D. fuscus,41,0,0,0,0.61,0.61,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0105,D. ochrophaeus,42,0,0,0,0.48,0.48,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0122,E. bislineata,42,0,0,0,5.6,5.6,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0136,E. bislineata,42,0,5.57,0.53,1.3,7.4,0.00,0.75,0.07,0.18
2016,Summer,SGL 221,KMM072,D. ochrophaeus,42,0,0,0,90.91,90.91,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM0103,D. ochrophaeus,43,0,8.06,0,0,8.06,0.00,1.00,0.00,0.00
2016,Summer,SGL 221,KMM0143,D. ochrophaeus,43,1.03,0,0,0.43,1.46,0.71,0.00,0.00,0.29
2016,Summer,SGL 221,KMM070,D. fuscus,44,0,0.3,0,0.08,0.38,0.00,0.79,0.00,0.21
2016,Summer,SGL 221,KMM0130,E. bislineata,44,0.19,0,0,0.17,0.36,0.53,0.00,0.00,0.47
2016,Summer,SGL 221,KMM098,D. ochrophaeus,44,0,0,0,4.37,4.37,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM081,D. ochrophaeus,45,0,0,0,0.11,0.11,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM076,D. fuscus,45,9.81,0,0,1.17,10.98,0.89,0.00,0.00,0.11
2016,Summer,SGL 221,KMM0142,D. ochrophaeus,46,5.29,0,0,0,5.29,1.00,0.00,0.00,0.00
2016,Summer,SGL 221,KMM092,D. ochrophaeus,47,0,0,0,0.87,0.87,0.00,0.00,0.00,1.00
2016,Summer,SGL 221,KMM075,D. fuscus,51,2.51,27.18,0,0,29.69,0.08,0.92,0.00,0.00
2016,Summer,SGL 221,KMM0148,D. fuscus,51,0,0,0,3.89,3.89,0.00,0.00,0.00,1.00
